"Meditation.LIVE","-","-","-","-","-"
"Threat Sketch","-","-","-","-","-"
"POWWR","-","-","-","-","-"
"Luma Financial Technologies","-","-","-","-","Financial Services"
"Boss Insights","-","-","-","-","Financial Services"
"LumenAd","-","-","11 to 50","-","-"
"Avelead","-","-","11 to 50","$5M to $25M (USD)","Information Technology"
"Precision Genetics","-","-","-","-","Healthcare"
"Gilded","-","-","-","-","-"
"Tour24","-","-","-","-","-"
"FreshLime","-","2015","less than
10","less than
$1M (USD)","Internet & Web Services"
"Transactly","Bryan Bowles","-","51 to 200","-","Real Estate"
"BRIZA","-","-","-","-","-"
"frontdesk","-","-","-","-","-"
"EnergyBot","-","-","-","-","-"
"SecurityGate","-","2017","11 to 50","-","-"
"Jeenie","-","-","-","-","-"
"Activate Care","-","-","-","-","Healthcare"
"SWIPEBY","-","-","-","-","-"
"Kinemagic","-","-","-","-","-"
"HealPay","-","-","11 to 50","-","-"
"Genomenon","-","-","less than
10","less than
$1M (USD)","Biotechnology"
"DeepSig","-","-","-","-","-"
"Procredex","-","-","-","-","Information Technology"
"XOi Technologies","-","-","11 to 50","-","-"
"Thycotic Software","-","-","-","-","-"
"Knoq","-","-","-","-","-"
"Hi Marley","-","-","11 to 50","-","Information Technology"
"PocketHealth","-","-","-","-","-"
"Rose","-","-","-","-","Dental Clinics"
"AI.Reverie","-","-","-","-","-"
"AllHere Education","-","-","-","-","-"
"Elliot","-","-","less than
10","-","Information Technology"
"Peoplelogic","-","-","-","-","-"
"Joot","-","-","-","-","-"
"JELLYFISH","-","2005","51 to 200","$5M to $25M (USD)","-"
"First Dollar","-","-","-","-","-"
"knack","-","-","less than
10","-","-"
"LocatorX","-","-","-","-","-"
"Tropic","-","-","1001 to 5,000","-","-"
"Lab Me Analytics","-","-","-","-","-"
"Transect","-","-","-","-","-"
"Twine Labs","-","-","-","-","-"
"CURANTIS","-","-","-","-","-"
"OTSO","-","-","-","-","-"
"PunchOut2Go","-","2011","11 to 50","$5M to $25M (USD)","Information Technology"
"DOUBLE","-","-","-","-","-"
"Skafos","-","-","-","-","-"
"Shopventory","-","-","11 to 50","-","Information Technology"
"Wurl","-","-","-","-","-"
"Anura","-","-","-","-","-"
"ConverseNow","-","-","-","-","-"
"Clinch","-","2014","less than
10","-","-"
"PIMD","-","-","-","-","-"
"MEDcraze","-","-","-","-","Healthcare"
"Cherish Health","-","-","-","-","-"
"ORock Technologies","-","2015","less than
10","less than
$1M (USD)","-"
"Presence","-","2012","11 to 50","-","-"
"People First","-","-","-","-","-"
"SentryBay","-","-","11 to 50","-","-"
"Articulate","-","-","11 to 50","-","Education"
"Datakwip, Inc.","-","-","-","-","-"
"Curemint","-","-","-","-","-"
"Mentis","-","-","-","-","-"
"Sprout","-","2004","11 to 50","$1M to $5M (USD)","Information Technology"
"Uscreen","-","-","-","-","Information Technology"
"MyndYou","-","-","11 to 50","-","-"
"DeepTarget","-","-","less than
10","less than
$1M (USD)","-"
"Covered by Sage","-","-","-","-","Insurance Agencies & Brokerages"
"LessonFace","-","-","-","-","-"
"Truckit","-","-","-","-","Transportation & Logistics"
"BlackCloak","-","-","-","-","-"
"Tomorrow Health","-","-","-","-","-"
"Good Measures","-","-","-","-","-"
"Chipper","-","-","51 to 200","$5M to $25M (USD)","-"
"Ophelia","-","-","-","-","-"
"Overjet","-","-","-","-","-"
"LightStream","-","2007","less than
10","less than
$1M (USD)","Telecommunications"
"GoodPath","-","-","-","-","-"
"NOVAE","-","-","201 to 500","-","-"
"Boosted.ai","-","-","-","-","-"
"Savvyy","-","2018","less than
10","-","-"
"NICKELS","-","-","-","-","-"
"Fiveable","-","-","-","-","-"
"Signal Vine","-","2013","11 to 50","less than
$1M (USD)","-"
"CartHook","-","-","11 to 50","-","-"
"Immersed","-","-","11 to 50","-","-"
"SmileSNap","-","-","-","-","Dental Clinics"
"Cadence","-","-","201 to 500","$25M to $100M (USD)","-"
"DeskAlerts","-","-","-","-","-"
"SEMA SOFTWARE","-","-","-","-","-"
"acretrader","-","-","-","-","Information Technology"
"Incyte Security","-","-","-","-","Information Technology"
"Aavenir","-","-","-","-","-"
"Onosys","-","-","less than
10","less than
$1M (USD)","-"
"Frame AI","-","-","-","-","-"
"IntelliBoard","-","-","-","-","-"
"Northspyre","-","-","-","-","Nonprofit & NGO"
"Savi Solutions","-","-","-","-","Personal Consumer Services"
"Clara","-","2015","11 to 50","-","-"
"Nuvocargo","-","-","-","-","-"
"Docket","-","2016","51 to 200","-","-"
"Canopy Lawn Care","Hunt Davis","-","51 to 200","-","Management & Consulting"
"The Thrive Network","-","-","501 to 1,000","-","-"
"Manor","-","1965","5,001 to 10,000","$1B to $5B (USD)","Retail & Wholesale"
"Malbek","-","-","-","-","-"
"BlueToad Inc","-","-","-","-","-"
"Immersion Analytics","-","-","-","-","-"
"Plooto","-","-","11 to 50","-","-"
"Gravy","-","2011","11 to 50","-","-"
"Precision Autonomy","-","-","11 to 50","-","-"
"Tomocredit","-","-","-","-","Financial Services"
"ORI","-","-","51 to 200","-","-"
"Thrive Savings","-","-","-","-","-"
"Trellis","-","2012","less than
10","less than
$1M (USD)","Construction & Facilities Services"
"Precog","-","-","-","-","-"
"Home Lending Pal","-","-","-","-","Real Estate"
"Wellbox","Nat Findlay","-","51 to 200","-","Healthcare"
"Cometchat","-","-","-","-","-"
"Kai XR","-","-","-","-","-"
"Fintainium","-","-","-","-","-"
"StudyFree","-","-","-","-","-"
"PARABOL","-","-","-","-","-"
"Quartile","-","-","-","-","-"
"Prime Trust","-","-","-","-","-"
"Mr Presta","-","-","-","-","-"
"See Forge","-","-","-","-","-"
"LENA","-","-","-","-","Transportation & Logistics"
"KOVER","-","-","-","-","-"
"Music Fund","-","-","-","-","-"
"Pivan Interactive","-","-","-","-","-"
"ZenDoc","-","-","-","-","-"
"Havoc Shield","-","-","-","-","-"
"Visual Feeder","-","-","-","-","-"
"The Difference","-","-","-","-","Healthcare"
"Shipsi","-","-","-","-","-"
"Ejenta","-","-","less than
10","-","-"
"MD ALly","-","-","-","-","-"
"Aquifer","-","-","-","-","-"
"Metrobi","-","-","-","-","Shipping & Trucking"
"Andia","-","-","-","-","-"
"Pascal Financial","-","-","-","-","Financial Services"
"Harvest Platform","-","-","-","-","-"
"Drugviu","-","-","11 to 50","-","-"
"Vendr","-","-","-","-","-"
"PaperStreet","-","-","-","-","-"
"Messy","-","-","-","-","-"
"Veho Technologies","-","-","-","-","-"
"Goose","-","-","-","-","-"
"Transparent Kitchen","-","-","11 to 50","-","Information Technology"
"Spyn Pay","-","-","-","-","-"
"SAFEFLIGHT","-","-","-","-","-"
"SciArt Software","-","-","-","-","-"
"BridgeCare","-","-","-","-","-"
"Adapt2 Solutions","-","-","11 to 50","$1M to $5M (USD)","-"
"Demoflow","-","-","-","-","-"
"Liquid Diamonds","-","-","-","-","-"
"Tava Health","-","-","-","-","-"
"Wellnecity","-","-","-","-","Healthcare"
"Spiral","-","1991","11 to 50","-","-"
"Veracity Protocol","-","-","-","-","-"
"KLOVER","-","-","-","-","Manufacturing"
"Leveredge","-","-","-","-","-"
"Alexsei","-","-","-","-","Legal"
"Shotcall","-","-","-","-","-"
"Tribe XR","-","-","-","-","-"
"BEAGLE","-","-","51 to 200","-","-"
"Kaden Health","-","-","-","-","-"
"EnrichHER","-","-","-","-","-"
"Arcade","-","-","11 to 50","-","Private Households"
"DAtAnchor","-","-","-","-","-"
"Pangian","-","-","-","-","-"
"Real Random","-","-","-","-","-"
"Noviqu","-","-","-","-","-"
"Scripta Insights","-","-","-","-","-"
"arist","-","-","-","-","-"
"2ndKitchen","-","-","11 to 50","-","Food and Beverages"
"2ndNature","-","-","-","-","-"
"Meeter","-","-","-","-","-"
"Orbiseed","-","-","-","-","-"
"Balance","-","-","51 to 200","$5M to $25M (USD)","Healthcare"
"Symbl.ai","-","-","11 to 50","-","Information Technology"
"SureConsent","-","-","-","-","-"
"Phelix","-","-","-","-","-"
"Chator","-","-","-","-","-"
"PowerSpike","-","-","-","-","-"
"Avocado","-","-","-","-","-"
"StaffDNA","-","-","11 to 50","$1M to $5M (USD)","-"
"Fast Office","-","-","-","-","-"
"Yave","-","-","-","-","-"
"Insent.ai","-","-","-","-","-"
"AdaptiLab","-","-","-","-","-"
"TermScout","-","-","-","-","-"
"Gablex","-","-","-","-","-"
"URBAN SDK","-","-","-","-","-"
"StoreCash","-","-","-","-","-"
"Caravel","-","-","11 to 50","-","-"
"Schedule Engine","-","-","-","-","-"
"Relovv","-","-","11 to 50","-","-"
"Ottogee","-","-","-","-","-"
"FitBliss","-","-","11 to 50","-","-"
"Automaton","-","-","-","-","-"
"Modus","-","-","51 to 200","$5M to $25M (USD)","Real Estate"
"Finaeo","-","-","11 to 50","-","-"
"NO NAME","-","-","-","-","-"
"DIRO","-","1992","1001 to 5,000","-","-"
"elovee","-","-","-","-","Healthcare"
"BEST FOOD TRUCKS","-","-","-","-","-"
"Phood","-","-","-","-","-"
"Catapult","-","2015","51 to 200","-","Human Resources & Staffing"
"Logixboard","-","-","-","-","-"
"FairFrame","-","-","-","-","-"
"Dobby","-","-","-","-","-"
"SIEMonster","-","2015","11 to 50","-","-"
"SYMBA","-","-","-","-","-"
"PaymentWorks","-","-","11 to 50","-","-"
"CRESCENDO RESTAURATION","-","-","501 to 1,000","$25M to $100M (USD)","Grocery Stores"
"Finneo","-","-","-","-","-"
"beeline group","-","2002","1001 to 5,000","$25M to $100M (USD)","Retail & Wholesale"
"Thimble","-","-","11 to 50","-","-"
"TermScout","-","-","-","-","-"
"Paperchain","-","-","-","-","-"
"Fortifyedge","-","-","-","-","-"
"Resilia","-","-","-","-","-"
"Routinify","-","-","-","-","-"
"goHappy","-","-","-","-","-"
"Level Technologies","-","-","-","-","-"
"Civic Eagle","-","-","-","-","-"
"Unifize","-","-","-","-","-"
"Don't Get Mad Get Paid","-","-","-","-","-"
"Hyro","-","-","-","-","-"
"jolly","-","-","-","-","-"
"Sentinel Healthcare","-","-","-","-","Healthcare"
"RentCheck","-","2013","less than
10","less than
$1M (USD)","-"
"Vacation Fund","-","-","-","-","-"
"Dorothy","-","-","-","-","-"
"Currency","-","2001","51 to 200","-","Financial Services"
"Downtown","-","1998","-","-","-"
"OpenMed","-","-","-","-","Healthcare"
"AQUAOSO Technologies","-","-","-","-","-"
"portl media","-","-","11 to 50","-","-"
"Pandium","-","-","11 to 50","-","-"
"TaxProper","-","-","-","-","-"
"InVivo AI","-","-","-","-","-"
"Propagate Ventures","-","-","-","-","-"
"Slope Software","-","-","-","-","Financial Services"
"Blue Studios","-","-","-","-","-"
"SURVIVR","-","-","-","-","-"
"Tomahawk Robotics","-","-","11 to 50","-","-"
"Fintros","-","-","-","-","Information Technology"
"Netizen Corporation","-","-","-","-","Information Technology"
"Wildnote","-","-","-","-","-"
"Clarisights","-","2017","11 to 50","-","-"
"ONE TECH","-","-","-","-","-"
"MapYourProperty","-","-","-","-","-"
"Struct Club","-","-","-","-","-"
"Vetty","-","-","-","-","-"
"TradeLanes","-","-","-","-","-"
"Doorkee","-","-","-","-","-"
"Career Karma","-","-","-","-","-"
"Memfault","-","-","-","-","-"
"A2Z Sync","-","-","-","-","-"
"Enveritas","-","2016","11 to 50","-","-"
"Spiral Genetics","-","-","-","-","-"
"Studio.live","-","-","-","-","-"
"Ai insurance","-","-","11 to 50","$1M to $5M (USD)","Insurance"
"Battlecard","-","-","-","-","-"
"Lumos","-","-","11 to 50","-","-"
"WorkClout","-","-","-","-","Information Technology"
"PopSQL","-","-","-","-","-"
"karat","-","-","-","-","-"
"Pachama","-","-","-","-","-"
"RADIX LABS","-","-","-","-","-"
"release","-","-","-","-","-"
"Playbook Technologies","-","-","-","-","-"
"BlueCargo","-","-","-","-","-"
"Traces","-","-","-","-","-"
"Lucky Labs","-","-","201 to 500","-","-"
"Asserta Health","-","-","-","-","Financial Services"
"Workers Benefit Fund","-","-","-","-","Media & Communication"
"ZEFI","-","-","-","-","-"
"Alpha Vantage","-","-","-","-","-"
"CHERRY","-","-","-","-","-"
"LeverageRx","-","2015","11 to 50","-","-"
"CASSIAN","-","-","-","-","-"
"Buildbuddy","-","-","-","-","-"
"Symplex","-","-","-","-","-"
"Nestor","-","-","11 to 50","$5M to $25M (USD)","Personal Consumer Services"
"ZAAM","-","-","-","-","-"
"HASH","-","-","-","-","-"
"ElectroNeek","-","-","11 to 50","-","Information Technology"
"Embrace","-","-","less than
10","less than
$1M (USD)","-"
"Dreamcraft","-","-","-","-","-"
"Postera","-","-","-","-","-"
"TRM Labs","-","-","-","-","-"
"Outvote","-","-","-","-","-"
"Cosmic JS","-","-","-","-","-"
"PayClearly","-","-","-","-","-"
"Mirametrix","-","-","-","-","-"
"Assurely","-","-","-","-","-"
"Cocoon","-","2012","11 to 50","-","Retail & Wholesale"
"Sinai Technologies","-","-","-","-","-"
"Glimpse","-","-","-","-","-"
"Abacus Technology","-","1983","501 to 1,000","$100M to $500M (USD)","Manufacturing"
"interprime","-","-","-","-","-"
"Kalshi","-","-","-","-","-"
"Data Mechanics","-","-","-","-","-"
"Emptor","-","-","-","-","-"
"PostHog","-","-","-","-","-"
"ScholarMe","-","-","-","-","Information Technology"
"BOT","-","-","-","-","Telecommunications"
"CUBOH","-","-","-","-","-"
"Cape Privacy","-","-","-","-","-"
"HubTran","-","-","-","-","-"
"Curri","-","-","-","-","-"
"Vouch Insurance","-","-","-","-","-"
"Optic","-","-","-","-","-"
"Bouncer","-","-","-","-","-"
"Ditto","Mike Tomlin - Go Steelers!","2011","more than
10,000","less than
$1M (USD)","Consumer Goods and Services"
"Zilra","-","-","-","-","-"
"balto","-","-","-","-","-"
"AXDRAFT","-","-","-","-","-"
"MOLOCO","-","-","less than
10","$1M to $5M (USD)","-"
"handle","-","-","less than
10","-","-"
"CoLab Software","-","-","-","-","-"
"searchlight","-","-","-","-","-"
"Brainkey","-","-","-","-","-"
"Meetaway","-","-","-","-","-"
"FreightWise","-","-","-","-","Transportation Management"
"Grain","Sung","-","51 to 200","$5M to $25M (USD)","Food and Beverages"
"Taskade","-","-","-","-","-"
"TeleTeachers","Emily Smith","-","11 to 50","-","-"
"Bourque Logistics","-","-","11 to 50","-","-"
"Quartix","-","-","51 to 200","$5M to $25M (USD)","Telecommunications"
"Lofty AI","-","-","-","-","-"
"Swipe Technologies","-","-","-","-","-"
"Paragon","-","-","51 to 200","$5M to $25M (USD)","Energy & Utilities"
"KlariVis","-","-","-","-","Financial Services"
"Apero Health","-","-","-","-","-"
"Kasada","-","-","11 to 50","-","-"
"Spently","-","2011","11 to 50","-","-"
"CompanyCam","-","-","less than
10","-","-"
"VELOX","-","-","less than
10","-","-"
"SaYana","-","-","-","-","-"
"Gitstart","-","-","-","-","-"
"MindsDB","-","-","-","-","-"
"Greentiger","-","-","-","-","-"
"Cotter","-","-","-","-","-"
"Earth AI","-","-","-","-","-"
"Prodigal Technologies","-","-","-","-","-"
"Freight Management, Inc.","Robert J. Walters","-","11 to 50","$25M to $100M (USD)","Transportation & Logistics"
"OpenPhone","-","-","-","-","Information Technology"
"boodleAI","-","-","-","-","-"
"Refinery","-","-","-","-","-"
"Puzzl","-","-","-","-","-"
"Mudrex","-","-","-","-","-"
"MomentMD","-","-","-","-","Healthcare"
"Fair Square Medicare","-","-","-","-","Insurance Agencies & Brokerages"
"FileTrail","-","2001","11 to 50","$1M to $5M (USD)","Information Technology"
"Orbiter","-","-","-","-","-"
"Highrise","-","2015","11 to 50","-","-"
"ReverCare","-","-","-","-","-"
"SIGO","-","-","-","-","-"
"The Helm","-","-","-","-","Restaurants & Food Service"
"Canary Technologies","-","-","11 to 50","-","-"
"Simply Easier Payments","-","-","-","-","Information Technology"
"Cala","-","-","-","-","-"
"Scout","-","-","-","-","Information Technology"
"Data2logistics","-","2002","201 to 500","$25M to $100M (USD)","-"
"GLIDE","-","-","less than
10","$1M to $5M (USD)","Information Technology"
"CORTEX","-","2008","11 to 50","-","Retail & Wholesale"
"Orbian","-","-","less than
10","$1M to $5M (USD)","-"
"BeneLynk","-","-","-","-","Healthcare"
"SleepWell","-","-","-","-","-"
"macro","-","-","less than
10","$5M to $25M (USD)","-"
"Worthy Financial","-","-","-","-","-"
"Sweeps","-","2004","less than
10","less than
$1M (USD)","Transportation & Logistics"
"RateLinx","-","2002","51 to 200","-","Consulting and Business Services"
"Insurance Lounge, Inc.","-","-","11 to 50","-","Insurance"
"Withfriends","-","-","-","-","-"
"Autobooks","-","2015","11 to 50","-","-"
"Skypher","-","-","-","-","-"
"Leena AI","-","-","-","-","-"
"Stream.io","-","-","-","-","-"
"Oxygen","-","-","51 to 200","-","-"
"Hoss","-","-","-","-","-"
"Curebase","-","-","11 to 50","-","Healthcare"
"1Build","-","-","-","-","-"
"Todyl","-","-","-","-","-"
"Green Mountain Technology","-","-","11 to 50","$5M to $25M (USD)","-"
"NO NAME","-","-","-","-","-"
"nivo1","-","-","11 to 50","-","-"
"Soteris","-","-","-","-","-"
"Thryv","Joe Walsh","-","1001 to 5,000","-","Information Technology"
"Nexben","-","-","less than
10","less than
$1M (USD)","-"
"ThinkData Works","-","-","-","-","-"
"Inevent","-","2015","11 to 50","$1M to $5M (USD)","-"
"ALLURE SYSTEMS","-","-","11 to 50","-","-"
"Tomorrow Ideas","-","-","11 to 50","-","-"
"Berbix","-","-","-","-","-"
"Point","-","2015","11 to 50","-","Construction & Facilities Services"
"Savvy Technologies LLC","-","-","-","-","-"
"AdvicePay","-","2016","11 to 50","less than
$1M (USD)","-"
"NO NAME","-","-","-","-","-"
"Actuate Corporation","-","1993","501 to 1,000","$100M to $500M (USD)","-"
"Intelligent Audit","-","1997","51 to 200","-","-"
"Laserfocus","-","-","-","-","-"
"onetool","-","-","-","-","-"
"SlapDash","-","2018","11 to 50","-","-"
"The Holy Grail","-","-","-","-","Restaurants & Food Service"
"Hatchways","-","-","11 to 50","-","Information Technology Support Services"
"Smartcare Software","-","-","-","-","Information Technology"
"Slidely","-","-","-","-","-"
"Gather Voices","-","-","-","-","-"
"DirectShifts","-","-","-","-","Government & Public Administration"
"COMPANY NAME","CEO","Founded","Company size","Revenue","Industry"
"Leo","-","-","11 to 50","-","Manufacturing"
"Trestle","-","-","-","-","-"
"Optimal Dynamics","-","-","11 to 50","-","-"
"Multis","-","-","-","-","-"
"EXPLO","-","-","-","-","-"
"Claim Genius","-","-","-","-","-"
"Nipendo","-","-","-","-","-"
"Toybox","-","-","-","-","-"
"MetaCode","-","-","11 to 50","-","-"
"Wren","-","-","-","-","-"
"Coursedog","-","-","-","-","-"
"Dataline","-","-","-","-","-"
"QUAVO","-","-","11 to 50","-","-"
"Shift Health","-","1999","51 to 200","-","-"
"Humanly","-","-","-","-","Restaurants & Cafes"
"Mentalhappy","-","-","-","-","-"
"Handl","-","-","-","-","Media & Communication"
"HeyDoctor","-","-","-","-","Healthcare"
"Mightier","-","-","11 to 50","-","-"
"Neura Health","-","-","-","-","-"
"Stryve","-","-","-","-","-"
"TradeUp","-","-","-","-","-"
"Tall Poppy","-","-","-","-","-"
"Preflight","-","-","-","-","-"
"CSPA","-","-","-","-","-"
"Medifind","-","-","-","-","-"
"Dover","-","1955","more than
10,000","$5B to $10B (USD)","Agriculture"
"kamsa","-","-","-","-","Arts, Entertainment & Recreation"
"TRAX","-","-","-","-","-"
"Jet Admin","-","-","-","-","-"
"Pashi","-","-","-","-","-"
"Alloy","-","1996","501 to 1,000","$25M to $100M (USD)","Construction & Facilities Services"
"Manatee","-","-","-","-","Healthcare"
"Nth Round","-","-","-","-","-"
"GLISTEN","-","-","-","-","-"
"Paneau","-","-","-","-","-"
"NO NAME","-","-","-","-","-"
"Dashworks","-","-","-","-","-"
"Middesk","-","-","-","-","-"
"ALLO","-","-","-","-","-"
"Acuitive Solutions","-","-","-","-","-"
"Flo Recruit","-","-","-","-","-"
"NO NAME","-","-","-","-","-"
"COMPANY NAME","CEO","Founded","Company size","Revenue","Industry"
"Pulley","-","-","-","-","-"
"Floating Point Group","-","-","-","-","-"
"Windsor Software","-","-","-","-","-"
"TALLYX","-","-","-","-","-"
"COMPANY NAME","CEO","Founded","Company size","Revenue","Industry"
"TALLYX","-","-","-","-","-"
"A3 Freight Payment","-","-","11 to 50","less than
$1M (USD)","-"
"MOLTEN","-","-","-","-","-"
"GoLinks","-","-","-","-","Information Technology"
"Together Software","-","-","-","-","-"
"courier","-","-","-","-","-"
"Cloudrise","-","-","-","-","Security & Protective"
"Arbor Insight","-","-","-","-","-"
"Kaiya","-","-","-","-","-"
"Gordian","-","1992","201 to 500","$25M to $100M (USD)","-"
"NO NAME","-","-","-","-","-"
"BLAIR","-","1910","1001 to 5,000","$100M to $500M (USD)","-"
"NO NAME","-","-","-","-","-"
"NO NAME","-","-","-","-","-"
"Syndetic","-","-","-","-","-"
"NO NAME","-","-","-","-","-"
"Savvy","-","-","11 to 50","-","Personal Consumer Services"
"NO NAME","-","-","-","-","-"
"DeepSource","-","-","11 to 50","-","-"
"Compound","-","-","-","-","-"
"WorldCover","-","-","11 to 50","-","-"
"SetMeUp","-","-","less than
10","-","-"
"OBIE","-","-","-","-","Insurance"
"FlowDash","-","-","-","-","-"
"ZYNQ","-","2016","11 to 50","-","-"
"Cron","-","-","-","-","-"
"Goodly","-","-","-","-","-"
"CareDash","Ted Chan","2014","11 to 50","$5M to $25M (USD)","Information Technology"
"Everlance","-","-","11 to 50","-","-"
"Launch Mobility","-","-","-","-","Information Technology"
"VIZIT","-","-","-","-","Advertising & Public Relations"
"SortSpoke","-","-","-","-","-"
"LitLingo","-","-","-","-","-"
"Deep Labs","-","2015","11 to 50","-","Information Technology"
"The Mighty","-","2014","11 to 50","-","Publishing"
"Sensely","-","-","-","-","-"
"AXLE","-","-","-","-","-"
"Talespin","-","-","11 to 50","-","-"
"Traffk","-","-","-","-","Information Technology"
"Stopit","-","-","-","-","-"
"FlyData","-","-","-","-","-"
"MemComputing","-","-","-","-","-"
"Taloflow","-","-","-","-","-"
"COMPANY NAME","CEO","Founded","Company size","Revenue","Industry"
"DeepScribe","-","-","-","-","Healthcare"
"Fluency","-","-","-","-","-"
"OpenReel","-","-","-","-","Information Technology"
"Atollogy","-","-","11 to 50","-","-"
"VideoPeel","-","-","-","-","Media & Communication"
"KlearNow","-","-","11 to 50","-","Information Technology"
"Mak Studio","-","-","-","-","-"
"SecurityAdvisor","-","-","-","-","-"
"BuildPulse","-","2014","less than
10","less than
$1M (USD)","-"
"Pangea.app","-","-","-","-","-"
"AUMNI","-","-","-","-","-"
"MUUKTEST","-","-","-","-","Information Technology"
"Preservica","-","-","-","-","-"
"Lawgood","-","-","-","-","-"
"Transformative","-","-","-","-","-"
"Tamadé","-","-","11 to 50","-","Healthcare"
"Limbix","-","-","-","-","-"
"STRIVR","-","2015","11 to 50","-","-"
"Sixpence","-","-","-","-","-"
"Secberus","-","-","-","-","-"
"Exenta","-","2008","51 to 200","$5M to $25M (USD)","-"
"EpicPay","-","2001","11 to 50","-","-"
"KILL BILL","-","-","-","-","-"
"Seaters","-","-","11 to 50","-","-"
"Vooks","-","-","-","-","-"
"Inorbit","-","-","-","-","-"
"IMMEDIATE","-","-","11 to 50","-","-"
"Safehub","-","-","11 to 50","-","-"
"Upflex","-","-","-","-","-"
"Woveon","-","-","-","-","-"
"K16 Solutions","-","-","-","-","-"
"Guzo","-","-","-","-","-"
"Shurpa","-","-","less than
10","less than
$1M (USD)","-"
"Sapient Industries","-","-","-","-","-"
"Quantstamp","-","-","11 to 50","-","-"
"ThunderAct","-","-","-","-","-"
"Dyad Medical","-","-","11 to 50","-","-"
"chemoWave","-","-","-","-","Healthcare"
"Finhealth","-","-","-","-","-"
"Planswell","-","-","11 to 50","$1M to $5M (USD)","-"
"Otter.ai","-","-","-","-","-"
"PLNAR","-","-","-","-","-"
"BDEX","-","-","11 to 50","-","-"
"qliqSoft","-","-","-","-","-"
"Market IQ","-","-","-","-","-"
"CloudMedx","Tashfeen Suleman","-","11 to 50","-","Information Technology"
